3IN.L
888.L
AA.L
AAL.L
ABF.L
ACA.L
ADM.L
AGK.L
AGR.L
AHT.L
ANTO.L
ASCL.L
ASHM.L
ATADL.RU
ATST.L
AUTO.L
AV.L
AW.L
AZN.L
BAB.L
BAG.L
BAKK.L
BARC.L
BATS.L
BBA.L
BBOX.L
BBY.L
BCA.L
BEZ.L
BGEO.L
BKG.L
BLND.L
BLT.L
BME.L
BNZL.L
BOY.L
BP.L
BRBY.L
BRW.L
BT.L
BTG.L
BVIC.L
BVS.L
BWNG.L
BWY.L
BYG.L
CAPC.L
CARD.L
CBG.L
CCC.L
CCFS.L
CCH.L
CCL.L
CEY.L
CINE.L
CKN.L
CNA.L
CNE.L
COA.L
COB.L
CPG.L
CPI.L
CRST.L
CSP.L
CTEC.L
CTY.L
CWK.L
CYBG.L
DC.L
DCG.L
DGE.L
DLN.L
DMGT.L
DNLM.L
DOM.L
DPH.L
DPLM.L
DRX.L
DTY.L
ECM.L
EFM.L
ELM.L
EMG.L
EQN.L
ERM.L
ESNT.L
ESUR.L
ETO.L
EVR.L
EXPN.L
EZJ.L
FCPT.L
FDM.L
FDSA.L
FGP.L
FRCL.L
FRES.L
FSJ.L
FXPO.L
GAW.L
GFRD.L
GFS.L
GFTU.L
GLEN.L
GLO.L
GNC.L
GNK.L
GNS.L
GOG.L
GPOR.L
GRG.L
GRI.L
GSK.L
GSS.L
GVC.L
HAS.L
HFD.L
HICL.L
HIK.L
HILS.L
HL.L
HLMA.L
HMSO.L
HOC.L
HSBA.L
HSTG.L
HSTN.L
HSV.L
HSX.L
HTG.L
HVPE.L
HWDN.L
IAG.L
IBST.L
ICP.L
IGG.L
III
IMI.L
IMT.L
INCH.L
INDV.L
INPP.L
INTU.L
INVP.L
IPO.L
ISAT.L
ITRK.L
ITV.L
IWG.L
JD.L
JDW.L
JE.L
JEO.L
JLG.L
JLT.L
JMAT.L
JUP.L
JUST.L
KAZ.L
KGF.L
KIE.L
LAND.L
LGEN.L
LKODL.RU
LLOY.L
LMP.L
LRE.L
LSE.L
MAB.L
MARS.L
MCS.L
MERL.L
MGAM.L
MGGT.L
MGNTL.RU
MKS.L
MLC.L
MNDI.L
MNKS.L
MNODL.RU
MONY.L
MRC.L
MRO.L
MRW.L
MSLH.L
MTO.L
MTRO.L
NEX.L
NG.L
NMC.L
NOG.L
NRR.L
NTG.L
NVTKL.RU
NXG.L
NXT.L
OCDO.L
OGZDL.RU
OSB.L
OTB.L
PAG.L
PAGE.L
PAY.L
PDL.L
PETS.L
PFC.L
PFG.L
PHNX.L
PHP.L
PIN.L
PLI.L
PLP.L
PNN.L
POLY.L
PRU.L
PSH.L
PSN.L
PSON.L
PTEC.L
PURE.L
PZC.L
QQ.L
RAT.L
RB.L
RBS.L
RCP.L
RDI.L
RDW.L
REL.L
RHIM.L
RIO.L
RMG.L
RMV.L
RNK.L
ROR.L
ROSNL.RU
RPC.L
RR.L
RRS.L
RSA.L
RSW.L
RTN.L
RWI.L
SAFE.L
SAGA.L
SBERL.RU
SBRY.L
SCT.L
SDP.L
SDR.L
SDRY.L
SEQI.L
SGC.L
SGGDL.RU
SHB.L
SHI.L
SHP.L
SKY.L
SL.L
SMDS.L
SMIN.L
SMP.L
SMWH.L
SN.L
SNN.L
SNR.L
SOPH.L
SPD.L
SPI.L
SPX.L
SRP.L
SSE.L
SSPG.L
STAN.L
STOP.L
SVS.L
SVSTL.RU
SVT.L
SXS.L
SXX.L
SYNT.L
TALK.L
TATE.L
TBCG.L
TCAP.L
TCG.L
TED.L
TEM.L
TEP.L
TIFS.L
TLW.L
TMPL.L
TPK.L
TRIG.L
TSCO.L
UDG.L
UKCM.L
ULE.L
ULVR.L
UTG.L
UU.L
VCT.L
VEC.L
VED.L
VM.L
VOF.L
VSVS.L
WEIR.L
WG.L
WIZZ.L
WKP.L
WMH.L
WOS.L
WPP.L
WTB.L
