A
AA
AAP
ABBV
ABC
ABG
ABM
ABT
ABX
ACM
ACN
AEE
AEP
AES
AET
AFG
AFL
AGCO
AGN
AGRO
AIG
AIZ
AJG
AKS
ALB
ALK
ALL
ALLE
ALLY
AME
AMG
AMP
AMT
AMX
AN
ANDV
ANF
ANTM
AON
APA
APC
APD
APH
ARGO
ARMK
ARW
ASH
ATHM.CH
ATI
ATO
AVP
AVY
AXE
AXP
AXTA
AZO
BA
BABA
BAC
BAH
BAX
BBT
BBY
BC
BDX
BEN
BERY
BIG
BITA
BK
BKS
BLK
BLL
BMS
BMY
BPL
BPY
BRKB
BSAC
BURL
BWA
BX
BYD
C
CAG
CAH
CAT
CB
CBRE
CBS
CC
CCE
CCK
CCU
CE
CF
CFX
CHK
CHL
CI
CIT
CL
CLR
CLX
CMC
CMG
CMI
CMS
CNC
CON
CNP
COF
COL
COO
COP
COTY
CPB
CRI
CRM
CSX
CTL
CVA
CVI.N
CVRR
CVS
CVX
CX
CYH
D
DAL
DAN
DAR
DB
DCI.N
DDS
DE
DF
DFS
DGX
DHI
DHR
DIS
DK
DKS
DLPH
DNB
DNOW
DOV
DPS
DPZ
DRI
DUK
DVA
DVN
EAT
ECL
ED
EIX
EL
EME
EMN
EMR
ENR
ENS
EOG
EPC
EPD
ES
ESNT
ETE
ETR
EVA
EVHC
EXC
F
FAF
FBHS
FCPT
FCX
FDX
FE
FIS
FIT
FL
FLO
FLR
FLS
FLT
FMC
FNF
FTI
GD
GDDY
GE
GEF
GHC
GIB
GIS
GLP
GLW
GM
GME
GNC
GNW
GPC
GPI
GPK
GPS
GRA
GS
GWW
H
HAL
HBC
HBI
HCA
HD
HES
HFC
HIG
HII
HLF
HLT
HMC
HOG
HON
HPQ
HRG
HRI
HRL
HRS
HST
HSY
HTZ
HUBS
HUM
HUN
IBM
IEP
IMPV
INFY
INGR
INT
IP
IPG
IQV
IR
ITW
JBL
JCI
JCP
JEC
JEF
JLL
JMEI.CH
JNJ
JNPR
JPM
JWN
K
KBR
KEY
KKR
KMB
KMI
KMX
KNX
KO
KORS
KR
KRO
KSS
L
LAD
LAZ
LB
LDOS
LEA
LEG
LEN
LH
LLL
LLY
LM
LMT
LNC
LOW
LUV
LVS
LYV
M
MA
MAA
MAN
MANU
MAS
MCD
MCK
MCO
MDT
MDU
MET
MFS
MGM
MHK
MKC
MKL
MMC
MMI
MMM
MO
MOH
MOS
MPC
MRK
MS
MSI
MTB
MTW
MTZ
MUR
MUSA
MWA
MXL
NAV
NBL
NCR
NEE
NEM
NEP
NEWR
NI
NKE
NLSN
NOC
NOK
NOV
NRG
NSC
NUE
NVR
NWL
OC
OI
OKE
OMC
OMI
ORCL
ORI
OSK
OUT
P
PAG
PAGP
PAM
PANW
PBF
PBR
PBYI
PCG
PEG
PEP
PF
PFE
PFG
PG
PGR
PH
PHM
PII
PKG
PM
PNC
POST
PPG
PPL
PRGO
PSX
PVH
PWR
PX
PXD
PYPL
QSR
R
RACE
RAD
RDS.B
RENN
RF
RFP
RGA
RHI
RHT
RIG
RJF
RL
RLGY
RMAX
RNR
ROK
ROP
RPM
RRD
RS
RSG
RTN
S
SAH
SAN
SBH
SCG
SCHW
SCI
SEE
SERV
SHAK
SHOP
SHW
SIG
SIX
SJM
SMG
SNE
SNX
SO
SON
SPG
SPGI
SPN
SPOT
SPR
SQ
SER
ST
STI
STT
STZ
SU
SVU
SWK
SWN
SYK
SYY
T
TAP
TDG
TEF
TEO
TGT
THC
THG
TIF
TJX
TM
TMK
TMO
TOL
TPC
TPH
TPR
TPX
TRGP
TRV
TSN
TTM
TV
TVPT
TWTR
TX
TXT
UA
UAL
UGI
UHS
UNH
UNM
UNP
UPS
URI
USB
USG
UTX
V
VALE
VAR
VC
VFC
VIPS
VLO
VMW
VRX
VSTO
VZ
W
WAT
WBC
WCC
WCG
WEC
WFC
WFT
WHR
WLK
WM
WMB
WMT
WP
WSM
WSO
WU
WUBA
WY
WYND
X
XEL
XOM
XRX
XYL
Y
YELP
YUM
ZEN
ZTS
