ABBA
AAL
AAPL
ADBE
ADP
ADSK
AFSI
AGNC
AKAM
AKRX
AMAT
AMD
AMGN
AMZN
ANDE
ANSS
AOBC
ARII
ARRS
ASNA
ATVI
AVT
BBBY
BBRY
BIDU
BIIB
BKNG
BLMN
BUD
CACC
CAR
CARA
CASY
CBPO
CDW
CELG
CERN
CHDN
CHKP
CHRW
CHTR
CINF
CLLS
CLMT
CMCSA
CME
COMM
CORE
COST
CRBP
CRON
CSCO
CTAS
CTRP.CH
CTSH
CYBR
CZR
DBX
DISCA
DISH
DLTR
EA
EBAY
EDIT
ESND
ESRX
ETSY
EXPD
EXPE
FAST
FB
FEYE
FISV
FITB
FNMA
FOX
FSLR
FTR
FTV
GILD
GLPI
GOOG
GPRO
GRMN
GSAT
GT
GWPH
HAIN
HAS
HDS
HSIC
IBKR
ICPT
ILMN
INCY
INSY
INTC
INTL
INTU
IONS
IPGP
JAZZ
JBHT
JBLU
JD.CH
JOBS.CH
KHC
LAMR
LBTYA
LTTYK
LILA
LKQ
LMCA
LNG
LPNT
LRCX
LSXMA
MAR
MAT
MDLZ
MELI
MIK
MMYT
MNST
MOMO
MSFT
MTCH
MU
NATI
NAVI
NFLX
NTAP
NTDOY
NTES.CH
NTLA
NTRS
NUAN
NVDA
NWSA
NXPI
ODP
ORLY
PCAR
PDCO
PEGI
POWI
PPC
QCOM
QIWI
QRTEA
REGN
ROST
RUSHB
RYAAY
SANM
SAVE
SBAC
SBNY
SBUX
SEDG
SEIC
SGEN
SGMO
SHLD
SLGN
SNAP
SPTN
SRCL
STLD
SWKS
SYMC
SYNA
SYNT
TA
TECD
TIVO
TRIP
TRMB
TROW
TSLA
TTWO
TXN
UBNT
UNFI
UNIT
URBN
VIAB
VIAV
VOD
VRSK
VRSN
VRTX
WBA
WDC
WEN
WIX
WLTW
WYNN
XRAY
YNDX
Z
ZNGA
ZYNE
