ALFA.ST
ASSA-B.ST
ATCO-A.ST
BOL.ST
ERIC-A.ST
HEXA-B.ST
HM-B.ST
ICA.ST
INDU-A.ST
INVE-A.ST
LUND-B.ST
LUPE.ST
NDA-SEK.ST
SAND.ST
SEB-A.ST
SECU-B.ST
SHB-A.ST
SKA-B.ST
SKF-A.ST
SWED-A.ST
SWMA.ST
TELIA.ST
TREL-B.ST
VOLV-A.ST
